ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
1515254401,89081,33745,106344,21542,107811,53016,60134,21585,44415,18195,36898,75773,19842,17130,14640,47408,33318,78060,50580,95279,36890,13958,73473,10536,11548,12397,32029,7483,10261,28734,11705,10020,190987,5471,27067,18527,4957,2975,48651,46582,86109,11451,10461,37486,153723,21427,3426,156926,43215,2969,19194,26812,11505,11412,15589,4056,7285,8897,4081,14823,5446,87244,43728,19188,62260,31338,10428,21197,56959,9026,25002,20304,7256,11722,1753,35346,19698,70817,80136,37477,11086,24388,140968,22732,74624,22866,9810,21710,3437,5592,140046,6170,15825,48902,11582,8226,14160,11821,10327,15060,13422,24749,120415,6823,162736,6297,92717,10322,96475,141986,159866,35401,16511,30073,47701,22304,11896,5963,49130,39944,33355,9265,59605,21188,1518,5602,41058,21493,23230,17603,5496,20282,52172,83477,30322,48895,9426,48356,63017,7602,55853,10267,14604,75533,34938,7974,3539,19995
1515254701,89109,33748,106351,21542,107839,53036,60134,21592,44453,18195,36908,75794,19849,17137,14640,47415,33325,78067,50580,95285,36890,13958,73476,10536,11555,12397,32036,7483,10261,28741,11719,10020,191001,5478,27067,18534,4957,2975,48706,46610,86109,11458,10461,37521,153744,21427,3426,156933,43229,2969,19194,26826,11512,11412,15589,4056,7285,8897,4081,14823,5446,87254,43728,19188,62270,31345,10428,21197,56973,9059,25003,20304,7256,11722,1753,35346,19698,70838,80164,37477,11086,24402,140989,22732,74645,22866,9810,21710,3437,5592,140067,6170,15825,48909,11589,8226,14167,11821,10327,15060,13422,24763,120481,6823,162748,6297,92759,10322,96496,142007,159878,35401,16511,30101,47722,22304,11896,5963,49158,40000,33355,9265,59650,21188,1518,5602,41065,21493,23244,17603,5496,20282,52192,83477,30322,48902,9426,48377,63031,7602,55874,10274,14604,75547,34938,7974,3539,19995
1515255001,89124,33748,106351,21542,107849,53039,60134,21592,44460,18195,36908,75807,19849,17137,14640,47415,33339,78067,50580,95292,36890,13958,73476,10536,11555,12397,32036,7483,10261,28741,11719,10020,191029,5478,27074,18548,4957,2975,48713,46617,86109,11458,10461,37521,153751,21427,3426,156961,43236,2969,19201,26826,11512,11412,15589,4056,7285,8897,4081,14823,5446,87267,43728,19191,62277,31345,10430,21197,56980,9059,25009,20311,7256,11722,1753,35362,19698,70841,80173,37477,11086,24402,140995,22732,74659,22866,9810,21710,3437,5592,140088,6170,15825,48916,11589,8226,14174,11821,10327,15064,13422,24777,120481,6823,162755,6297,92759,10322,96503,142042,159885,35401,16518,30108,47729,22318,11903,5963,49168,40027,33364,9265,59657,21188,1518,5602,41072,21493,23244,17603,5496,20282,52192,83484,30322,48923,9426,48384,63031,7602,55888,10274,14604,75561,34938,7974,3539,19995
1515255301,89131,33748,106364,21542,107863,53052,60138,21592,44460,18202,36908,75832,19850,17137,14647,47422,33344,78074,50586,95292,36897,13958,73476,10536,11555,12397,32043,7483,10268,28741,11719,10020,191036,5485,27081,18548,4957,2975,48713,46624,86109,11458,10461,37521,153793,21427,3426,156969,43252,2969,19201,26833,11519,11419,15589,4056,7285,8897,4081,14823,5446,87281,43753,19191,62277,31345,10435,21204,56980,9059,25009,20311,7256,11722,1753,35388,19698,70855,80194,37477,11086,24409,141023,22746,74708,22866,9810,21716,3437,5592,140133,6177,15832,48944,11589,8226,14174,11821,10327,15064,13422,24784,120488,6823,162762,6297,92759,10322,96517,142070,159899,35401,16518,30108,47729,22318,11910,5963,49175,40027,33371,9265,59657,21195,1518,5602,41072,21500,23258,17603,5496,20282,52206,83484,30322,48937,9427,48391,63038,7602,55902,10274,14604,75568,34938,7974,3539,19995
1515255601,89143,33748,106378,21542,107870,53062,60145,21592,44460,18202,36908,75839,19850,17138,14648,47422,33348,78074,50594,95292,36918,13958,73483,10536,11562,12397,32078,7490,10275,28748,11719,10027,191146,5492,27088,18548,4957,2975,48720,46631,86109,11465,10461,37525,153881,21427,3426,156969,43273,2969,19201,26836,11526,11426,15589,4056,7285,8897,4081,14823,5446,87288,43774,19191,62277,31347,10435,21204,56980,9059,25009,20311,7256,11722,1753,35388,19698,70876,80194,37477,11093,24416,141115,22753,74708,22880,9810,21716,3437,5592,140228,6177,15832,48958,11589,8226,14181,11821,10327,15071,13422,24791,120509,6823,162867,6297,92773,10322,96565,142105,159990,35401,16518,30115,47736,22325,11910,5963,49185,40034,33371,9265,59671,21202,1518,5602,41072,21501,23258,17603,5496,20282,52206,83484,30322,48965,9427,48391,63066,7602,55902,10274,14604,75589,34938,7974,3539,19995
1515255901,89164,33755,106385,21542,107877,53065,60152,21596,44460,18202,36908,75846,19850,17145,14648,47422,33348,78074,50601,95299,36918,13958,73497,10536,11562,12397,32092,7490,10276,28755,11719,10034,191160,5492,27109,18555,4957,2975,48727,46631,86130,11466,10461,37546,153922,21427,3426,156983,43287,2969,19201,26836,11526,11426,15589,4056,7285,8897,4081,14823,5453,87302,43802,19191,62291,31347,10435,21204,56980,9066,25009,20311,7256,11722,1753,35388,19698,70899,80222,37477,11093,24416,141143,22760,74743,22908,9810,21716,3437,5599,140263,6177,15832,48965,11589,8233,14181,11821,10327,15071,13422,24791,120551,6823,162874,6304,92787,10322,96586,142147,160004,35401,16532,30115,47750,22325,11910,5963,49188,40034,33378,9265,59678,21202,1518,5602,41073,21501,23258,17603,5496,20282,52206,83491,30322,48965,9448,48391,63073,7602,55951,10274,14604,75617,34938,7980,3539,19995
1515256201,89180,33755,106385,21542,107905,53072,60172,21603,44467,18209,36908,75846,19850,17145,14648,47422,33368,78074,50601,95310,36918,13958,73525,10536,11562,12397,32092,7490,10276,28755,11726,10034,191251,5492,27123,18555,4957,2975,48741,46638,86137,11477,10461,37560,153999,21434,3426,157004,43301,2969,19201,26853,11533,11433,15589,4056,7285,8897,4081,14837,5453,87309,43837,19191,62298,31347,10435,21211,56980,9066,25009,20311,7256,11736,1753,35388,19701,70962,80229,37484,11093,24416,141234,22760,74778,22922,9810,21716,3437,5613,140347,6177,15853,48965,11589,8233,14181,11821,10327,15071,13434,24797,120565,6823,162944,6304,92801,10322,96602,142168,160088,35401,16539,30129,47763,22332,11910,5963,49188,40055,33378,9265,59678,21202,1518,5602,41073,21515,23258,17603,5496,20282,52212,83491,30322,48979,9448,48398,63080,7602,56007,10274,14604,75631,34938,7980,3539,19995
1515256501,89185,33769,106385,21542,107922,53079,60172,21603,44467,18209,36915,75846,19850,17146,14648,47429,33375,78074,50608,95310,36932,13958,73532,10536,11562,12397,32092,7490,10276,28755,11726,10034,191263,5492,27130,18555,4957,2975,48748,46645,86144,11479,10461,37567,154020,21434,3426,157018,43308,2969,19201,26853,11533,11433,15589,4056,7285,8897,4081,14851,5453,87322,43858,19191,62298,31347,10435,21218,56980,9066,25009,20311,7256,11757,1753,35388,19708,70997,80229,37484,11093,24423,141234,22760,74785,22922,9817,21723,3437,5625,140375,6177,15867,48979,11589,8233,14181,11821,10327,15071,13448,24797,120586,6823,163031,6304,92822,10322,96613,142189,160215,35401,16539,30129,47763,22332,11917,5963,49195,40055,33378,9265,59692,21202,1518,5602,41073,21515,23258,17603,5496,20289,52212,83498,30329,48993,9448,48398,63080,7602,56014,10281,14604,75645,34948,7980,3539,19995
1515256801,89185,33769,106392,21542,107943,53081,60179,21603,44467,18209,36922,75853,19850,17146,14648,47435,33382,78074,50608,95310,36939,13958,73532,10536,11562,12397,32092,7490,10276,28755,11726,10034,191282,5492,27144,18555,4957,2975,48762,46652,86151,11479,10461,37567,154046,21462,3426,157018,43315,2969,19201,26853,11533,11440,15589,4056,7285,8897,4081,14851,5453,87335,43858,19191,62298,31347,10435,21218,56980,9066,25009,20311,7256,11757,1753,35395,19708,70999,80229,37484,11093,24423,141267,22767,74785,22929,9817,21723,3437,5625,140387,6177,15867,48979,11589,8233,14181,11828,10327,15071,13448,24797,120607,6823,163043,6304,92836,10322,96620,142224,160234,35401,16539,30136,47769,22332,11917,5963,49195,40055,33378,9265,59692,21202,1518,5602,41097,21516,23258,17603,5496,20296,52219,83498,30329,49000,9448,48398,63080,7602,56017,10281,14604,75652,34948,7980,3539,19995
1515257101,89199,33769,106399,21542,107957,53081,60186,21603,44473,18216,36922,75860,19850,17153,14648,47435,33382,78087,50615,95310,36946,13958,73539,10536,11562,12397,32092,7490,10276,28762,11726,10034,191385,5492,27158,18555,4957,2975,48762,46652,86165,11481,10461,37567,154120,21469,3426,157025,43315,2969,19201,26860,11533,11447,15589,4056,7285,8897,4081,14851,5453,87361,43858,19191,62312,31347,10435,21225,57004,9066,25009,20311,7256,11764,1753,35395,19715,71009,80236,37484,11093,24423,141365,22767,74820,22929,9817,21723,3437,5625,140558,6177,15867,48979,11589,8233,14181,11828,10327,15077,13448,24803,120635,6823,163069,6304,92864,10322,96620,142266,160260,35401,16539,30136,47769,22332,11917,5963,49202,40055,33378,9265,59692,21209,1518,5602,41097,21516,23258,17603,5496,20303,52220,83498,30329,49000,9448,48398,63087,7602,56023,10281,14604,75652,34948,7980,3539,19995
